year_month,location,date,irradiance,temp_c
2022-03,Taipei,2022-03-16 00:00:00,3.485667741935484,19.016451612903225
2022-03,Taitung,2022-03-16 00:00:00,3.9960129032258065,20.872258064516128
2022-03,Taoyuan,2022-03-16 00:00:00,3.737806451612903,19.016451612903225
2022-03,Yunlin,2022-03-16 00:00:00,4.634025806451612,20.575483870967744
2022-04,Changhua,2022-04-15 12:00:00,4.868753333333333,23.549666666666667
2022-04,Chiayi,2022-04-15 12:00:00,5.201373333333334,22.089
2022-04,Hsinchu,2022-04-15 12:00:00,4.868753333333333,20.805333333333333
2022-04,Hualien,2022-04-15 12:00:00,4.343453333333333,24.33533333333333
2022-04,Kaohsiung,2022-04-15 12:00:00,5.55942,25.682666666666666
2022-04,Miaoli,2022-04-15 12:00:00,4.868753333333333,22.467
2022-04,Pingtung,2022-04-15 12:00:00,5.55942,25.832333333333334
2022-04,Taichung,2022-04-15 12:00:00,4.868753333333333,23.549666666666667
2022-04,Tainan,2022-04-15 12:00:00,5.201373333333334,25.110666666666667
2022-04,Taipei,2022-04-15 12:00:00,4.046043333333333,20.805333333333333
2022-04,Taitung,2022-04-15 12:00:00,4.736113333333334,22.04866666666667
2022-04,Taoyuan,2022-04-15 12:00:00,4.144633333333333,20.805333333333333
2022-04,Yunlin,2022-04-15 12:00:00,5.201373333333334,22.089
2022-05,Changhua,2022-05-16 00:00:00,3.7853645161290324,24.526774193548388
2022-05,Chiayi,2022-05-16 00:00:00,3.947383870967742,22.82709677419355
2022-05,Hsinchu,2022-05-16 00:00:00,3.7853645161290324,22.491612903225807
2022-05,Hualien,2022-05-16 00:00:00,3.5342483870967745,26.00548387096774
2022-05,Kaohsiung,2022-05-16 00:00:00,4.347306451612903,26.73548387096774
2022-05,Miaoli,2022-05-16 00:00:00,3.7853645161290324,24.044193548387096
2022-05,Pingtung,2022-05-16 00:00:00,4.347306451612903,26.41032258064516
2022-05,Taichung,2022-05-16 00:00:00,3.7853645161290324,24.526774193548388
2022-05,Tainan,2022-05-16 00:00:00,3.947383870967742,26.176451612903225
2022-05,Taipei,2022-05-16 00:00:00,2.88368064516129,22.491612903225807
2022-05,Taitung,2022-05-16 00:00:00,3.9989645161290324,23.70193548387097
2022-05,Taoyuan,2022-05-16 00:00:00,3.261435483870968,22.491612903225807
2022-05,Yunlin,2022-05-16 00:00:00,3.947383870967742,22.82709677419355
2022-06,Changhua,2022-06-15 12:00:00,5.1442,26.109666666666666
2022-06,Chiayi,2022-06-15 12:00:00,5.342873333333333,23.801666666666666
2022-06,Hsinchu,2022-06-15 12:00:00,5.1442,26.445666666666668
2022-06,Hualien,2022-06-15 12:00:00,5.737183333333333,29.005
2022-06,Kaohsiung,2022-06-15 12:00:00,5.983996666666667,29.139333333333333
2022-06,Miaoli,2022-06-15 12:00:00,5.1442,26.33566666666667
2022-06,Pingtung,2022-06-15 12:00:00,5.983996666666667,27.506333333333334
2022-06,Taichung,2022-06-15 12:00:00,5.1442,26.109666666666666
2022-06,Tainan,2022-06-15 12:00:00,5.342873333333333,28.599666666666668
2022-06,Taipei,2022-06-15 12:00:00,4.55314,26.445666666666668
2022-06,Taitung,2022-06-15 12:00:00,6.447236666666667,25.950333333333333
2022-06,Taoyuan,2022-06-15 12:00:00,4.960216666666667,26.445666666666668
2022-06,Yunlin,2022-06-15 12:00:00,5.342873333333333,23.801666666666666
2022-07,Changhua,2022-07-16 00:00:00,6.664,28.239677419354837
2022-07,Chiayi,2022-07-16 00:00:00,5.92321935483871,25.881612903225808
2022-07,Hsinchu,2022-07-16 00:00:00,6.664,28.179354838709678
